NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE
Cash loans,F,N,Y,0,135000,334152,17059.5,270000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-9332,-2136,-3927,-1996,,1,1,0,1,0,0,Laborers,2,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.223084145,0.323996648,0.629674251,0.0701,0.0646,0.9801,,,0,0.1379,0.1667,,0.0474,,0.0616,,0.0069,0.0714,0.067,0.9801
Cash loans,F,Y,Y,0,337500,487971,51372,463500,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.016612,-16760,-1163,-8206,-314,12,1,1,0,1,0,1,Laborers,1,2,2,THURSDAY,11,0,0,0,0,0,0,Other,0.391353022,0.559154173,0.725276435,0.2804,0.0729,0.9846,0.7892,0.0776,0.08,0.0345,0.3333,0.375,0.1129,0.2278,0.0839,0.0039,0.0068,0.2857,0.0757,0.9846
Cash loans,F,N,N,0,76500,338832,18508.5,292500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.007305,-20985,365243,-10580,-4510,,1,0,0,1,1,0,,2,3,3,FRIDAY,12,0,0,0,0,0,0,XNA,,0.21723577,0.306202298,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,90000,305221.5,14976,252000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.001333,-16528,-2450,-8904,-38,36,1,1,0,1,0,0,Managers,2,3,3,SATURDAY,3,0,0,0,0,0,0,Self-employed,0.37300325,0.617076597,0.843543539,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,1,247500,991678.5,35748,837000,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.020246,-12542,-1998,-548,-1913,,1,1,0,1,0,1,Core staff,3,3,3,WEDNESDAY,9,0,0,0,0,1,1,Self-employed,0.3772509,0.512299917,0.475849909,0.0227,0.0585,0.9781,0.694,0,0,0.1034,0.0417,0.0833,0.0472,0.0185,0.0201,0,0.0055,0.0231,0.0607,0.9782
Cash loans,F,Y,N,1,405000,1546020,45202.5,1350000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018209,-19585,-1225,-3648,-3031,3,1,1,0,1,1,0,Managers,3,3,3,WEDNESDAY,14,0,0,0,0,0,0,Industry: type 5,,0.536684319,0.037638448,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,135000,840159,44761.5,778500,Family,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.014464,-17681,-1035,-9143,-1149,,1,1,1,1,1,0,Laborers,2,2,2,SATURDAY,8,0,0,0,0,1,1,Business Entity Type 3,,0.742672846,,0.0629,0.0691,0.9811,0.7416,0.041,0,0.1379,0.1667,0.2083,0.0611,0.0504,0.0521,0.0039,0.0109,0.0641,0.0717,0.9811
Cash loans,F,N,Y,0,54000,67158,6669,63000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01885,-18775,-503,-6125,-2319,,1,1,1,1,0,0,Core staff,2,2,2,FRIDAY,9,0,0,0,0,0,0,School,0.667831732,0.350337764,0.577969119,,,,,,,,,,,,,,,,,
Cash loans,F,Y,Y,0,270000,900000,87808.5,900000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-17249,-4815,-7118,-727,2,1,1,0,1,0,1,Accountants,2,1,1,THURSDAY,19,0,0,0,0,0,0,Business Entity Type 3,0.876167597,0.684572015,,0.1117,0.0962,0.9757,,,0.02,0.1507,0.2446,,0,,0.0931,,0.0026,0.0494,0.12,0.9747
Revolving loans,M,Y,N,0,157500,180000,9000,180000,Family,Working,Higher education,Married,House / apartment,0.00496,-10213,-3232,-906,-2700,8,1,1,0,1,0,0,Laborers,2,2,2,MONDAY,12,0,0,0,1,1,0,Business Entity Type 3,0.364356128,0.561406117,0.372333666,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,76500,270000,11569.5,270000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.015221,-20857,-2183,-14322,-4367,,1,1,1,1,1,0,Security staff,1,2,2,TUESDAY,9,0,0,0,0,0,0,Business Entity Type 3,,0.275505292,,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,202500,1125000,33025.5,1125000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01452,-17148,-3980,-10236,-681,,1,1,0,1,0,0,Sales staff,2,2,2,WEDNESDAY,8,0,0,0,0,0,0,Self-employed,,0.47736801,0.67224289,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,1,157500,695970,35662.5,553500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.006629,-10462,-2486,-1301,-2463,,1,1,0,1,0,0,Accountants,3,2,2,MONDAY,7,0,0,0,0,0,0,Agriculture,,0.616296055,0.75037515,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,90000,454500,20020.5,454500,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.009334,-17485,-5186,-9992,-1008,,1,1,0,1,1,0,Medicine staff,1,2,2,SUNDAY,18,0,0,0,0,0,0,Medicine,,0.599729735,0.493862882,0.0309,0.0582,0.9732,0.6328,,0,0.1034,0.1667,0.2083,0.0647,,0.0598,,0,0.0315,0.0604,0.9732
Cash loans,F,Y,Y,2,135000,916470,26928,765000,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.019689,-12036,-4020,-931,-3459,10,1,1,0,1,0,0,Managers,4,2,2,WEDNESDAY,16,0,0,0,0,0,0,School,0.393534404,0.597454614,0.565607981,0.1505,0.1456,0.9896,0.8436,0.0694,0,0.3448,0.1667,0.2083,0.1179,0.1219,0.1438,0.0039,0.0226,0.1534,0.1511,0.9896
Cash loans,F,N,N,0,153000,472500,44991,454500,Unaccompanied,State servant,Higher education,Separated,House / apartment,0.00496,-17569,-2630,-5650,-1116,,1,1,0,1,0,0,Core staff,1,2,2,SATURDAY,14,0,0,0,0,1,1,Medicine,0.83937953,0.666461896,0.52629494,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,180000,487570.5,38650.5,441000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.01885,-15949,-760,-4523,-4541,11,1,1,0,1,1,0,Drivers,2,2,2,TUESDAY,9,0,0,0,0,1,1,Self-employed,,0.696468741,0.553164699,,,,,,,,,,,,,,,,,
Cash loans,M,Y,N,0,180000,756000,42214.5,756000,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.030755,-12453,-1526,-6436,-385,0,1,1,1,1,1,0,,2,2,2,TUESDAY,10,0,0,0,1,1,0,Construction,0.258008412,0.610524523,0.183035167,,,,,,,,,,,,,,,,,
Cash loans,F,Y,N,1,279000,1042560,40572,900000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.010006,-18388,-8838,-7063,-1917,4,1,1,1,1,1,0,Laborers,3,2,2,FRIDAY,14,0,0,0,0,0,0,Industry: type 9,0.833605835,0.533403987,0.372333666,0.0186,,0.9891,0.8504,0.0062,0,0.1034,0.0417,0.0833,0.0364,0.0151,0.0189,0,0,0.0189,,0.9891
Cash loans,M,N,Y,0,135000,1024740,52452,900000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-17783,-1354,-5868,-1337,,1,1,0,1,0,0,Drivers,2,2,2,THURSDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.534242036,0.591976618,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,225000,557005.5,29295,423000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0228,-20429,-230,-9394,-3472,3,1,1,1,1,1,0,Managers,2,2,2,TUESDAY,11,0,0,0,0,0,0,Transport: type 3,,0.221689512,0.581483706,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,112500,630747,20475,526500,"Spouse, partner",Pensioner,Secondary / secondary special,Married,House / apartment,0.030755,-20454,365243,-10307,-3747,,1,0,0,1,0,0,,2,2,2,SATURDAY,13,0,0,0,1,0,0,XNA,0.563066534,0.230116842,0.367291018,,,,,,,,,,,,,,,,,
Cash loans,M,N,Y,0,270000,1041219,50220,855000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.04622,-10012,-1878,-565,-2675,,1,1,0,1,0,0,Laborers,2,1,1,WEDNESDAY,17,0,0,0,0,0,0,Construction,,0.653096992,0.598926218,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,112500,265869,19345.5,225000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.015221,-13986,-2450,-161,-4805,,1,1,1,1,0,0,Sales staff,2,2,2,FRIDAY,14,1,1,0,1,1,0,Trade: type 3,,0.546250432,0.710674386,0.0124,,0.9722,0.6192,,0,0.069,0.0417,,0.0191,,0.0131,,0,0.0126,,0.9722
Cash loans,F,N,Y,0,121500,157914,16713,139500,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.01885,-18138,-978,-9632,-1604,,1,1,0,1,0,1,Laborers,1,2,2,FRIDAY,10,0,0,0,0,1,1,Business Entity Type 3,0.84586343,0.406341393,0.410102573,0.367,0.0577,0.9861,0.8096,0.0333,,0.1379,0.1667,,0.0534,0.0975,0.0331,0.9266,0.0836,0.3739,0.0599,0.9861
Cash loans,F,N,N,0,90000,808650,23773.5,675000,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.019101,-23332,365243,-6827,-4535,,1,0,0,1,1,0,,2,2,2,WEDNESDAY,9,0,0,0,0,0,0,XNA,,0.718822795,0.614414378,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,112500,538704,22954.5,481500,Children,State servant,Secondary / secondary special,Married,House / apartment,0.010556,-16913,-9839,-9273,-467,,1,1,0,1,0,0,Medicine staff,2,3,3,TUESDAY,15,0,0,0,0,1,1,Medicine,,0.573910034,0.410102573,,,,,,,,,,,,,,,,,
Revolving loans,F,N,Y,0,270000,585000,29250,585000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.032561,-19294,-6268,-8141,-2692,,1,1,0,1,0,0,Managers,1,1,1,FRIDAY,9,0,0,0,0,0,0,Self-employed,0.877417564,0.755768993,,0.1351,,0.9712,,,,0.1724,0.25,,,,0.1904,,0.1342,0.1376,,0.9712
Cash loans,F,N,Y,0,171000,566055,18387,472500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010966,-21840,365243,-6916,-4926,,1,0,0,1,0,0,,2,2,2,TUESDAY,12,0,0,0,0,0,0,XNA,,0.717703233,0.665854922,0.1041,0.1047,0.9786,0.7076,0.0055,0,0.2069,0.1667,0,0.0428,0.0841,0.0933,0.0039,0.0144,0.1061,0.1087,0.9786
Cash loans,F,N,Y,0,157500,1046142,30717,913500,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.009175,-19862,-748,-8085,-3368,,1,1,0,1,0,0,,2,2,2,WEDNESDAY,10,0,0,0,0,0,0,Restaurant,,0.758859593,0.76623367,0.0948,0.3075,0.9891,0.8504,,0.12,0.1034,0.375,0.4167,0.1213,0.0773,0.0962,0,0.0991,0.0966,0.3192,
Revolving loans,F,N,N,0,180000,225000,11250,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.032561,-16052,-9269,-10191,-4316,,1,1,0,1,0,0,Medicine staff,2,1,1,WEDNESDAY,19,0,0,0,0,0,0,Medicine,,0.710655212,0.515495375,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,270000,1408140,130437,1354500,Unaccompanied,Pensioner,Higher education,Civil marriage,House / apartment,0.016612,-20818,365243,-4637,-4374,,1,0,0,1,0,0,,2,2,2,MONDAY,12,0,0,0,0,0,0,XNA,,0.022710398,0.529889834,,,,,,,,,,,,,,,,,
Cash loans,F,Y,Y,0,315000,1288350,37800,1125000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.019101,-13341,-4392,-7439,-3774,5,1,1,0,1,0,1,Managers,2,2,2,WEDNESDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.636455884,0.397946322,0.0093,,0.9473,,,,0.069,0.0417,,,,0.0051,,,0.0095,,0.9474
Cash loans,M,N,Y,0,225000,641173.5,29839.5,553500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-18730,-5307,-956,-2216,,1,1,0,1,0,0,Laborers,2,2,2,MONDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.572090914,0.72383699,,,,,,,,,,,,,,,,,
Cash loans,F,Y,Y,0,81000,254700,17149.5,225000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.018634,-9801,-1612,-8668,-2482,11,1,1,1,1,0,0,Sales staff,2,2,2,MONDAY,9,0,0,0,1,1,0,Self-employed,0.118985104,0.608968673,0.481249341,,,,,,,,,,,,,,,,,
Cash loans,F,Y,Y,1,135000,522396,35041.5,472500,Family,Working,Higher education,Married,With parents,0.018801,-11242,-1167,-4997,-277,8,1,1,0,1,0,0,Sales staff,3,2,2,MONDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.560733858,0.206961347,0.6577838,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,225000,592560,40216.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010147,-10911,-535,-4382,-1287,3,1,1,0,1,0,0,Laborers,2,2,2,THURSDAY,9,1,1,0,0,0,0,Business Entity Type 1,,0.661201388,0.154743631,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,1,135000,422892,25870.5,382500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.0228,-8567,-196,-2325,-890,64,1,1,0,1,0,0,Laborers,3,2,2,THURSDAY,15,0,0,0,0,0,0,Industry: type 11,0.221310499,0.652918614,0.357293268,0.0825,0.0704,0.9776,0.694,0.0079,0,0.1379,0.1667,0.2083,0.0431,0.0672,0.0705,0,0,0.084,0.0731,0.9777
Revolving loans,F,N,Y,0,225000,450000,22500,450000,Unaccompanied,Pensioner,Higher education,Widow,Municipal apartment,0.008866,-21533,365243,-7410,-4059,,1,0,0,1,0,0,,1,2,2,TUESDAY,17,0,0,0,0,0,0,XNA,,0.429058757,0.231439351,0.0825,0.0802,0.9747,0.6532,,0,0.1379,0.1667,0,0.0875,,0.0446,,0.0901,0.084,0.0833,0.9747
Cash loans,F,N,N,0,48150,544491,15732,454500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.02461,-21999,365243,-12305,-4884,,1,0,0,1,1,0,,2,2,2,TUESDAY,16,0,0,0,0,0,0,XNA,,0.690748156,,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,67500,315000,11673,315000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.015221,-20229,365243,-51,-464,,1,0,0,1,1,0,,1,2,2,FRIDAY,9,0,0,0,0,0,0,XNA,,0.249596991,0.6577838,0.0608,0.0678,0.9856,,,0,0.1379,0.1667,,0.051,,0.0508,,0.0087,0.062,0.0704,0.9856
Cash loans,F,N,Y,3,225000,729792,37390.5,630000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.007274,-11870,-5072,-5315,-1297,,1,1,0,1,0,0,Laborers,4,2,2,SATURDAY,12,0,0,0,0,0,0,Industry: type 11,,0.336117844,0.486653157,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,1,292500,1746000,48145.5,1746000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.04622,-11216,-583,-3080,-1687,,1,1,1,1,0,1,,3,1,1,THURSDAY,17,0,1,1,0,1,1,Business Entity Type 3,0.517469211,0.714422076,0.593717587,,,,,,,,,,,,,,,,,
Cash loans,M,Y,N,0,99000,647046,18670.5,463500,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-19636,-98,-8714,-2702,10,1,1,0,1,0,0,Laborers,2,2,2,MONDAY,18,0,1,1,0,1,1,Government,0.549367031,0.694263795,0.69562193,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,202500,101880,11101.5,90000,Unaccompanied,State servant,Higher education,Married,House / apartment,0.006296,-12565,-1736,-6408,-4339,4,1,1,0,1,0,0,Drivers,2,3,3,FRIDAY,13,0,0,0,0,1,1,Military,,0.604690495,0.384206813,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,67500,545040,25537.5,450000,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.006629,-10292,-240,-314,-977,,1,1,0,1,0,0,Medicine staff,1,2,2,FRIDAY,10,0,0,0,1,1,0,Kindergarten,,0.515888798,,,,,,,,,,,,,,,,,,
Cash loans,M,Y,N,1,270000,283585.5,33786,256500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010032,-17298,-2982,-2714,-819,13,1,1,0,1,0,0,Managers,3,2,2,MONDAY,7,0,0,0,0,1,1,Business Entity Type 3,,0.329780049,0.680138822,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,180000,360000,18418.5,360000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018029,-12284,-4789,-6,-4446,,1,1,0,1,1,0,Medicine staff,1,3,2,THURSDAY,10,0,0,0,0,0,0,Medicine,,0.629414534,0.81609236,0.0608,0.0629,0.9762,0.6736,0.0278,0,0.1379,0.1667,0.2083,0.0445,0.0471,0.0514,0.0116,0.0122,0.062,0.0653,0.9762
Cash loans,F,Y,Y,0,157500,1129500,31189.5,1129500,Unaccompanied,Commercial associate,Higher education,Widow,House / apartment,0.018209,-19850,-1574,-10692,-3384,9,1,1,0,1,1,0,,1,3,3,MONDAY,10,0,0,0,0,0,0,Self-employed,,0.02662112,0.700183851,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,180000,224149.5,23098.5,193500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-20848,-5835,-11119,-4277,,1,1,0,1,0,0,High skill tech staff,2,2,2,MONDAY,15,0,0,0,0,0,0,Business Entity Type 1,,0.154265424,0.504681319,0.2216,0.095,0.9846,0.7892,0.0756,0.24,0.2069,0.3333,0.375,0.088,0.1807,0.2032,0,0,0.2258,0.0985,0.9846
Cash loans,F,N,Y,0,360000,1773963,61789.5,1620000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.019689,-16521,-3246,-5459,-47,,1,1,0,1,0,1,Managers,1,2,2,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.555995082,0.568344939,0.334454126,0.0928,0.0906,0.9826,0.762,0,0,0.2069,0.1667,0.0417,0.0963,0.0756,0.0772,0,0.1041,0.0945,0.0941,0.9826
Cash loans,F,N,N,0,112500,284400,18643.5,225000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,With parents,0.008474,-11499,-606,-2264,-2970,,1,1,0,1,0,0,,2,2,2,SATURDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.662522216,0.259618448,0.192942228,,,,,,,,,,,,,,,,,
Cash loans,M,Y,N,0,337500,1597500,63355.5,1597500,Family,State servant,Secondary / secondary special,Married,House / apartment,0.025164,-14772,-113,-4680,-5222,6,1,1,1,1,0,0,,2,2,2,FRIDAY,14,0,0,0,0,1,1,Other,,0.550739823,0.307736696,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,121500,1223010,48631.5,1125000,Family,Working,Secondary / secondary special,Married,House / apartment,0.025164,-11590,-3475,-2137,-2396,,1,1,1,1,0,0,Managers,2,2,2,FRIDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.426062783,0.639536658,,0.0082,,0.9533,,,0,0.069,0.0417,,,,0.0051,,0.0021,0.0084,,0.9533
Cash loans,M,N,N,0,103500,143910,16366.5,135000,Family,Working,Secondary / secondary special,Married,House / apartment,0.010276,-8139,-1032,-1108,-801,,1,1,1,1,0,0,High skill tech staff,2,2,2,SATURDAY,17,0,0,0,0,0,0,Other,,0.651768038,0.212756305,0.0804,0.0514,0.9886,0.8436,0.0149,0,0.069,0.1667,0.2083,0.1295,0.0656,0.0567,0,0,0.0819,0.0534,0.9886
Cash loans,F,Y,Y,0,184500,781920,25969.5,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018801,-21318,365243,-9839,-4402,22,1,0,0,1,0,0,,2,2,2,WEDNESDAY,11,0,0,0,0,0,0,XNA,,0.617272929,0.639707568,,,,,,,,,,,,,,,,,
Cash loans,F,Y,Y,1,202500,302076,27832.5,270000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020246,-14234,-1293,-3045,-2860,10,1,1,0,1,0,0,Sales staff,3,3,3,TUESDAY,10,0,0,0,0,0,0,Trade: type 7,,0.449550684,0.45432106,0.0825,0.0794,0.9727,0.626,0.0572,0,0.1379,0.1667,0.2083,0.0556,0.0672,0.0625,0,0,0.084,0.0824,0.9727
Cash loans,M,N,Y,0,121500,1125000,44617.5,1125000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.02461,-18362,-3235,-3820,-1909,,1,1,1,1,1,0,Drivers,2,2,2,WEDNESDAY,8,0,0,0,0,0,0,Security Ministries,,0.652616265,0.667457742,0.0052,0,0.9682,0.5648,0,0,0.0345,0,0.0417,,0.0042,0.0046,0,0,0.0053,0,0.9682
Cash loans,M,Y,Y,0,315000,1515100.5,44428.5,1323000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.018634,-10337,-2510,-9728,-3007,2,1,1,0,1,0,0,Managers,1,2,2,TUESDAY,14,0,0,0,0,1,1,Business Entity Type 3,0.350561685,0.198080155,0.272133684,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,144000,512064,18522,360000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.005313,-14510,-6607,-8427,-4179,,1,1,0,1,0,0,Core staff,1,2,2,MONDAY,13,0,0,0,0,0,0,Kindergarten,,0.395250382,0.716570245,0.1546,0,0.9836,,,0,0.3448,0.1667,,0,,0.1375,,0,0.1576,0,0.9836
Cash loans,M,Y,N,0,225000,450000,30073.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.072508,-11743,-1841,-1182,-1262,7,1,1,0,1,0,1,,2,1,1,SUNDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.245349553,0.145542813,0.0825,0.063,0.9786,,,0.08,0.0345,0.4583,,,,0.0439,,0.0658,0.084,0.0654,0.9786
Cash loans,F,Y,N,0,108000,247275,18486,225000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.006671,-19759,-4133,-3651,-3315,24,1,1,0,1,0,0,,1,2,2,FRIDAY,17,0,0,0,0,1,1,Business Entity Type 3,0.486048853,0.468483336,0.602386344,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,112500,675000,28728,675000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-16922,-4794,-3117,-481,,1,1,0,1,0,0,Security staff,2,2,2,THURSDAY,19,0,0,0,0,0,0,Culture,,0.713738978,0.746300213,0.1361,0.0761,0.9955,0.9388,0.0525,0.14,0.1207,0.375,0.0417,0.0814,0.1097,0.1539,0.0058,0.0168,0.0777,0.04,0.9955
Cash loans,M,N,Y,0,225000,490495.5,51502.5,454500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-21686,365243,-2839,-4852,,1,0,0,1,0,0,,2,2,2,SATURDAY,12,0,0,0,0,0,0,XNA,,0.44632775,,0.1443,,0.9771,,,0,0.2759,0.1667,,,,0.1051,,0.084,0.1471,,0.9772
Cash loans,F,N,Y,0,270000,1223010,51948,1125000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010006,-19440,365243,-3944,-2971,,1,0,0,1,0,0,,2,2,1,MONDAY,10,0,0,0,0,0,0,XNA,0.608932349,0.765137225,0.569148771,0.0082,0,0.9752,0.66,0,0,0.0345,0.0417,0.0833,0.0245,0.0067,0.0069,0,0,0.0084,0,0.9752
Cash loans,M,N,N,0,135000,592560,35937,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,0.01885,-20005,-327,-4194,-3416,,1,1,0,1,0,0,Security staff,2,2,2,THURSDAY,14,0,1,1,0,0,0,Security,,0.241107151,0.835776516,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,180000,1061658,31171.5,760500,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.019689,-20270,-1858,-11054,-1926,,1,1,0,1,0,0,Laborers,1,2,2,SATURDAY,9,0,0,0,0,0,0,Self-employed,,0.54880207,0.631354537,,,,,,,,,,,,,,,,,
Cash loans,M,Y,N,0,202500,755190,28894.5,675000,Family,Working,Higher education,Married,House / apartment,0.028663,-16543,-4540,-8806,-99,7,1,1,0,1,0,0,High skill tech staff,2,2,2,THURSDAY,14,0,0,0,0,1,1,Transport: type 2,0.47251316,0.703563213,0.519097338,,,,,,,,,,,,,,,,,
Cash loans,M,N,Y,5,112500,360000,16780.5,360000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.008866,-11423,-3054,-7500,-3696,,1,1,0,1,0,0,Laborers,7,2,2,MONDAY,13,0,0,0,0,1,1,Self-employed,,0.179824483,0.646329898,,,,,,,,,,,,,,,,,
Revolving loans,F,N,N,1,198000,585000,29250,585000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Rented apartment,0.019101,-12345,-2252,-227,-2639,,1,1,0,1,0,0,Managers,3,2,2,THURSDAY,10,0,0,0,0,1,1,Industry: type 2,0.550574699,0.670822329,0.627990819,,,,,,,,,,,,,,,,,
Cash loans,F,Y,Y,0,247500,1011955.5,43006.5,904500,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.025164,-16686,-3062,-5143,-246,1,1,1,0,1,0,0,Core staff,2,2,2,SATURDAY,15,0,0,0,1,1,0,Self-employed,0.680700242,0.696547323,,,,,,,,,,,,,,,,,,
